,MovieName,Year,Certificate,Runtime,Let_Rating,IMDb_Rating,Meta_Rating
278,The Big Lebowski,1998,R,117,4.14,8.1,71
279,Kill Bill: Vol. 1,2003,R,111,4.18,8.0,83
280,Céline and Julie Go Boating,1974,N/A,193,4.12,-1.0,-1
281,Hope,2013,N/A,122,4.11,-1.0,-1
282,Taste of Cherry,1997,N/A,99,4.3,-1.0,-1
283,John Denver Trending,2019,N/A,96,3.72,-1.0,-1
284,Happy Together,1997,N/A,96,4.22,-1.0,-1
285,The Matrix,1999,R,136,4.16,8.7,73
286,Farewell My Concubine,1992,N/A,171,4.25,-1.0,-1
287,Entranced Earth,1967,N/A,106,3.88,-1.0,-1
288,Cries and Whispers,1972,R,95,4.19,8.1,0
289,Time of the Gypsies,1988,N/A,142,4.15,-1.0,-1
290,Kwaidan,1964,N/A,183,4.19,-1.0,-1
291,The Tale of the Princess Kaguya,2013,PG,137,4.23,8.0,89
292,"São Paulo, Incorporated",1965,N/A,111,3.96,-1.0,-1
293,The Kid,1921,Passed,68,4.19,8.3,0
294,The Life of Oharu,1952,N/A,136,4.15,-1.0,-1
295,The Red Light Bandit,1968,N/A,92,3.9,-1.0,-1
296,Good Morning,1959,N/A,94,4.17,-1.0,-1
297,Nayakan,1987,N/A,156,4.14,-1.0,-1
298,Pixote,1980,N/A,128,4.15,-1.0,-1
299,The Exterminating Angel,1962,Not Rated,94,4.15,8.1,0
300,"Pretty Village, Pretty Flame",1996,N/A,130,4.13,-1.0,-1
301,The Holy Mountain,1973,N/A,114,4.15,-1.0,-1
302,Devils on the Doorstep,2000,N/A,139,4.24,-1.0,-1
303,Prisoners,2013,R,153,4.28,8.1,70
304,WALL·E,2008,G,98,4.18,8.4,95
305,La Flor,2018,N/A,803,4.03,-1.0,-1
306,Charulata,1964,N/A,117,4.12,-1.0,-1
307,The Man Who Shot Liberty Valance,1962,Not Rated,123,4.22,8.1,94
308,The Lives of Others,2006,R,137,4.26,8.4,89
309,Memento,2000,R,113,4.17,8.4,80
310,"Synecdoche, New York",2008,N/A,124,4.19,-1.0,-1
311,The Cremator,1969,N/A,101,4.23,-1.0,-1
312,Ali: Fear Eats the Soul,1974,N/A,93,4.17,-1.0,-1
313,Love Streams,1984,N/A,141,4.14,-1.0,-1
314,Bacurau,2019,N/A,131,3.89,-1.0,-1
315,Evolution of a Filipino Family,2004,N/A,647,4.09,-1.0,-1
316,Son of the White Mare,1981,N/A,86,4.17,-1.0,-1
317,The Man Who Sleeps,1974,N/A,77,4.18,-1.0,-1
318,When a Woman Ascends the Stairs,1960,N/A,111,4.14,-1.0,-1
319,Winter Sleep,2014,Not Rated,196,4.14,8.1,88
320,Extraordinary Stories,2008,N/A,242,4.1,-1.0,-1
321,Il Posto,1961,N/A,98,4.12,-1.0,-1
322,Jurassic Park,1993,PG-13,127,4.11,8.1,68
323,Day of Wrath,1943,N/A,97,4.15,-1.0,-1
324,The Bridge on the River Kwai,1957,PG,161,4.22,8.1,87
325,Dersu Uzala,1975,N/A,141,4.2,-1.0,-1
326,The Mother and the Whore,1973,N/A,219,4.14,-1.0,-1
327,Full Metal Jacket,1987,R,117,4.2,8.3,76
328,Investigation of a Citizen Above Suspicion,1970,N/A,111,4.12,-1.0,-1
329,Sorcerer,1977,N/A,121,4.22,-1.0,-1
330,On the Waterfront,1954,Approved,108,4.17,8.1,91
331,Short Term 12,2013,R,96,4.16,8.0,82
332,The Naked Island,1960,N/A,97,4.14,-1.0,-1
333,The Turin Horse,2011,N/A,155,4.17,-1.0,-1
334,The Prestige,2006,PG-13,130,4.22,8.5,66
335,Secrets & Lies,1996,R,142,4.22,8.0,91
336,Léon: The Professional,1994,R,111,4.03,8.5,64
337,Fantastic Mr. Fox,2009,N/A,87,4.26,-1.0,-1
338,Django Unchained,2012,R,165,4.26,8.4,81
339,Who Killed Captain Alex?,2010,N/A,68,4.15,-1.0,-1
340,Hiroshima Mon Amour,1959,N/A,92,4.17,-1.0,-1
341,Blade Runner,1982,R,118,4.1,8.1,84
342,Die Hard,1988,R,132,4.07,8.2,72
343,Cria!,1976,N/A,105,4.14,-1.0,-1
344,The Elephant Man,1980,PG,124,4.23,8.1,78
345,Interstellar,2014,PG-13,169,4.31,8.6,74
346,Three Colours: Blue,1993,N/A,98,4.17,-1.0,-1
347,Day for Night,1973,N/A,116,4.16,-1.0,-1
348,Possession,1981,N/A,124,4.1,-1.0,-1
349,The Conversation,1974,N/A,113,4.17,-1.0,-1
350,Roma,2018,N/A,135,4.11,-1.0,-1
351,Nashville,1975,N/A,160,4.14,-1.0,-1
352,The Last Picture Show,1971,N/A,119,4.18,-1.0,-1
353,Terrorizers,1986,N/A,109,4.11,-1.0,-1
354,Before Midnight,2013,N/A,109,4.09,-1.0,-1
355,Mary and Max,2009,Not Rated,92,4.21,8.1,0
356,Call Me by Your Name,2017,N/A,132,3.87,-1.0,-1
357,Stand by Me,1986,R,89,4.14,8.1,75
358,The Florida Project,2017,N/A,112,4.11,-1.0,-1
359,In the Heat of the Sun,1994,N/A,134,4.09,-1.0,-1
360,Ivan's Childhood,1962,Not Rated,95,4.18,8.1,0
361,"Rome, Open City",1945,N/A,103,4.14,-1.0,-1
362,Movie Dementia,1986,N/A,90,3.94,-1.0,-1
363,Trainspotting,1996,R,94,4.19,8.1,83
364,The Spirit of the Beehive,1973,N/A,99,4.14,-1.0,-1
365,The Conformist,1970,N/A,108,4.17,-1.0,-1
366,Who's Singin' Over There?,1980,N/A,86,4.05,-1.0,-1
367,Canoa: A Shameful Memory,1976,N/A,116,4.08,-1.0,-1
368,Forrest Gump,1994,PG-13,142,4.12,8.8,82
369,Blade Runner 2049,2017,R,164,4.13,8.0,81
370,El sur,1983,N/A,95,4.11,-1.0,-1
371,Happy Hour,2015,N/A,317,4.2,-1.0,-1
372,The Truman Show,1998,PG,103,4.2,8.1,90
373,Fallen Angels,1995,N/A,98,4.2,-1.0,-1
374,The Night,1992,N/A,116,3.8,-1.0,-1
375,Anatomy of a Murder,1959,N/A,161,4.2,-1.0,-1
376,"4 Months, 3 Weeks and 2 Days",2007,N/A,114,4.21,-1.0,-1
377,Out 1,1971,N/A,743,4.05,-1.0,-1
378,Jacquot,1991,N/A,118,4.11,-1.0,-1
379,McCabe & Mrs. Miller,1971,N/A,120,4.12,-1.0,-1
380,Judgment at Nuremberg,1961,Approved,190,4.21,8.2,0
381,To Live,1994,N/A,133,4.16,-1.0,-1
382,Late Autumn,1960,N/A,128,4.08,-1.0,-1
383,Shame,1968,N/A,103,4.16,-1.0,-1
384,Amour,2012,N/A,127,4.21,-1.0,-1
385,The Story of the Last Chrysanthemum,1939,N/A,144,4.11,-1.0,-1
386,The Nightingale's Prayer,1959,N/A,123,4.02,-1.0,-1
387,The Incredibles,2004,PG,115,4.07,8.0,90
388,Monty Python and the Holy Grail,1975,PG,91,4.13,8.2,91
389,The Witness,1969,N/A,108,4.05,-1.0,-1
390,Floating Weeds,1959,N/A,115,4.09,-1.0,-1
391,Touch of Evil,1958,N/A,111,4.16,-1.0,-1
392,Poetry,2010,N/A,139,4.18,-1.0,-1
393,The Umbrellas of Cherbourg,1964,N/A,93,4.14,-1.0,-1
394,Nothing But a Man,1964,N/A,95,4.03,-1.0,-1
395,Le Cercle Rouge,1970,N/A,140,4.17,-1.0,-1
396,The Long Goodbye,1973,N/A,112,4.17,-1.0,-1
397,The Heiress,1949,N/A,115,4.11,-1.0,-1
398,Dead Poets Society,1989,PG,128,4.23,8.1,79
399,Two in the Shadow,1967,N/A,108,4.11,-1.0,-1
400,The Celebration,1998,R,105,4.26,8.0,82
401,Portrait of a Young Girl at the End of the 60s in Brussels,1994,N/A,60,4.13,-1.0,-1
402,This Transient Life,1970,N/A,143,4.08,-1.0,-1
403,Embrace of the Serpent,2015,N/A,125,4.17,-1.0,-1
404,"My Son, the Hero",1961,N/A,97,3.82,-1.0,-1
405,Ode to Nothing,2018,N/A,92,3.78,-1.0,-1
406,My Night at Maud's,1969,N/A,110,4.13,-1.0,-1
407,All the President's Men,1976,N/A,138,4.15,-1.0,-1
408,3 Women,1977,N/A,124,4.12,-1.0,-1
409,Unforgiven,1992,R,130,4.19,8.2,85
410,Diabolique,1955,N/A,117,4.16,-1.0,-1
411,"Aguirre, the Wrath of God",1972,N/A,95,4.14,-1.0,-1
412,1917,2019,R,119,4.1,8.3,78
413,The Shop Around the Corner,1940,Not Rated,99,4.14,8.1,96
414,The Green Ray,1986,N/A,98,4.15,-1.0,-1
415,Millennium Actress,2001,N/A,87,4.21,-1.0,-1
416,The Double Life of Véronique,1991,N/A,98,4.13,-1.0,-1
417,The Extras,1993,N/A,100,3.77,-1.0,-1
418,Malcolm X,1992,N/A,202,4.19,-1.0,-1
419,Du côté d'Orouët,1971,N/A,162,3.93,-1.0,-1
420,The Travelling Players,1975,N/A,222,4.12,-1.0,-1
421,Au Revoir les Enfants,1987,N/A,105,4.16,-1.0,-1
422,Kiki's Delivery Service,1989,N/A,103,4.12,-1.0,-1
423,The Disappearance of Haruhi Suzumiya,2010,N/A,162,4.21,-1.0,-1
424,Blindspotting,2018,N/A,95,4.1,-1.0,-1
425,The Green Mile,1999,R,189,4.2,8.6,61
426,The Night of Counting the Years,1969,N/A,102,4.02,-1.0,-1
427,What Ever Happened to Baby Jane?,1962,Passed,135,4.14,8.1,75
428,The Bitter Tears of Petra von Kant,1972,N/A,124,4.08,-1.0,-1
429,"Black God, White Devil",1964,N/A,120,3.78,-1.0,-1
430,The Crucified Lovers,1954,N/A,102,4.12,-1.0,-1
431,Out of the Past,1947,N/A,97,4.1,-1.0,-1
432,The Secret in Their Eyes,2009,R,130,4.16,8.2,80
433,"Comrades, Almost a Love Story",1996,N/A,118,4.13,-1.0,-1
434,Kes,1969,N/A,111,4.18,-1.0,-1
435,Arrival,2016,N/A,116,4.11,-1.0,-1
436,A City of Sadness,1989,N/A,159,4.12,-1.0,-1
437,"Spring, Summer, Fall, Winter... and Spring",2003,R,103,4.19,8.0,85
438,Eros + Massacre,1969,N/A,216,4.05,-1.0,-1
439,Through a Glass Darkly,1961,N/A,91,4.13,-1.0,-1
440,The Lighthouse,2019,N/A,109,4.05,-1.0,-1
441,The Rules of the Game,1939,N/A,106,4.08,-1.0,-1
442,For a Few Dollars More,1965,R,132,4.18,8.3,74
443,Her,2013,R,126,4.04,8.0,90
444,Balkan Spy,1984,N/A,92,4.02,-1.0,-1
445,Nostos: The Return,1989,N/A,85,4.17,-1.0,-1
446,Naked,1993,N/A,131,4.08,-1.0,-1
447,The Crowd,1928,N/A,98,4.08,-1.0,-1
448,Y Tu Mamá También,2001,N/A,106,4.18,-1.0,-1
449,The Leopard,1963,N/A,186,4.11,-1.0,-1
450,The Meetings of Anna,1978,N/A,128,4.07,-1.0,-1
451,Amélie,2001,R,122,4.15,8.3,69
452,Time to Love,1965,N/A,89,3.84,-1.0,-1
453,The Deer Hunter,1978,R,183,4.18,8.1,86
454,A Short Film About Love,1988,N/A,87,4.1,-1.0,-1
455,Beau Travail,1999,N/A,92,4.12,-1.0,-1
456,Still Life,1974,N/A,90,4.2,-1.0,-1
457,The Gold Rush,1925,Passed,95,4.13,8.2,0
458,It Happened One Night,1934,Approved,105,4.13,8.1,87
459,Blue Velvet,1986,N/A,120,4.1,-1.0,-1
460,The Color of Pomegranates,1969,N/A,80,4.11,-1.0,-1
461,What We Do in the Shadows,2014,N/A,86,4.11,-1.0,-1
462,The Marathon Family,1982,N/A,92,3.97,-1.0,-1
463,The Earrings of Madame de...,1953,N/A,105,4.06,-1.0,-1
464,Samurai X: Trust & Betrayal,1999,N/A,120,4.19,-1.0,-1
465,La Strada,1954,N/A,115,4.15,-1.0,-1
466,"They Shoot Horses, Don't They?",1969,N/A,120,4.15,-1.0,-1
467,Casino,1995,R,179,4.18,8.2,73
468,Die Nibelungen: Siegfried,1924,N/A,148,4.11,-1.0,-1
469,Fitzcarraldo,1982,PG,157,4.13,8.1,0
470,Cool Hand Luke,1967,GP,127,4.14,8.1,92
471,Aquarius,2016,N/A,147,3.94,-1.0,-1
472,Dancer in the Dark,2000,R,141,4.17,8.0,61
473,The Graduate,1967,N/A,106,4.12,-1.0,-1
474,Days of Heaven,1978,N/A,94,4.11,-1.0,-1
475,Kanal,1957,N/A,96,4.1,-1.0,-1
476,In Vanda's Room,2000,N/A,171,4.03,-1.0,-1
477,Kagemusha,1980,N/A,180,4.15,-1.0,-1
478,The Farewell,2019,N/A,100,4.06,-1.0,-1
479,Capernaum,2018,R,126,4.11,8.4,75
480,Street of Shame,1956,N/A,87,4.1,-1.0,-1
481,The Innocents,1961,N/A,100,4.11,-1.0,-1
482,Rebecca,1940,Approved,130,4.11,8.1,86
483,12 Years a Slave,2013,R,134,4.14,8.1,96
484,The White Ribbon,2009,N/A,144,4.19,-1.0,-1
485,Through the Olive Trees,1994,N/A,103,4.14,-1.0,-1
486,Song of the Sea,2014,PG,93,4.17,8.1,85
487,Faust,1926,N/A,116,4.08,-1.0,-1
488,The Great War,1959,N/A,130,3.98,-1.0,-1
489,The Lovers on the Bridge,1991,N/A,125,4.16,-1.0,-1
490,Trouble in Paradise,1932,N/A,83,4.08,-1.0,-1
491,The Fire Within,1963,N/A,108,4.11,-1.0,-1
492,Up,2009,PG,96,4.08,8.2,88
493,Jaws,1975,N/A,124,3.98,-1.0,-1
494,Rio Bravo,1959,N/A,141,4.14,-1.0,-1
495,Twenty-Four Eyes,1954,N/A,156,4.1,-1.0,-1
496,All About My Mother,1999,N/A,101,4.13,-1.0,-1
497,Taipei Story,1985,N/A,120,4.05,-1.0,-1
498,The Last Black Man in San Francisco,2019,N/A,121,4.07,-1.0,-1
499,Ratatouille,2007,G,111,4.19,8.0,96
500,The Burmese Harp,1956,N/A,117,4.1,-1.0,-1
501,The Princess Bride,1987,PG,99,4.04,8.1,77
502,A Silent Voice,2016,N/A,130,4.15,-1.0,-1
503,Samurai Jack: The Premiere Movie,2001,N/A,60,4.09,-1.0,-1
504,Stroszek,1977,N/A,107,4.06,-1.0,-1
505,Orpheus,1950,N/A,95,4.06,-1.0,-1
506,Finding Nemo,2003,G,100,4.04,8.1,90
507,Last Year at Marienbad,1961,N/A,95,4.09,-1.0,-1
508,"Up, Down, Fragile",1995,N/A,169,4.06,-1.0,-1
509,Persepolis,2007,PG-13,95,4.16,8.0,90
510,Phantom Thread,2017,N/A,130,4.13,-1.0,-1
511,Dogville,2003,R,178,4.13,8.0,0
512,Johnny Guitar,1954,N/A,110,4.06,-1.0,-1
513,Brazil,1985,N/A,143,4.1,-1.0,-1
514,Greed,1924,N/A,140,4.01,-1.0,-1
515,Ritual,2000,N/A,128,4.21,-1.0,-1
516,The Wife of an Important Man,1987,N/A,109,3.91,-1.0,-1
517,Viridiana,1961,N/A,90,4.07,-1.0,-1
518,S. Bernardo,1972,N/A,113,3.92,-1.0,-1
519,The Favourite,2018,N/A,119,4.05,-1.0,-1
520,The Pinchcliffe Grand Prix,1975,N/A,88,3.84,-1.0,-1
521,A Touch of Zen,1971,N/A,180,4.09,-1.0,-1
522,Camera Buff,1979,N/A,112,4.07,-1.0,-1
523,The Music Room,1958,N/A,100,4.03,-1.0,-1
524,The Sting,1973,PG,129,4.17,8.3,83
525,Francisca,1981,N/A,166,3.96,-1.0,-1
526,Amarcord,1973,N/A,123,4.09,-1.0,-1
527,My Life as a Zucchini,2016,N/A,66,4.14,-1.0,-1
528,Fires on the Plain,1959,N/A,105,4.07,-1.0,-1
529,Vive L'Amour,1994,N/A,118,4.06,-1.0,-1
530,Alice in the Cities,1974,N/A,110,4.1,-1.0,-1
531,Mother,2009,N/A,129,4.16,-1.0,-1
532,Fail Safe,1964,N/A,112,4.15,-1.0,-1
533,"Monsters, Inc.",2001,G,92,4.07,8.0,79
534,Anbe Sivam,2003,N/A,160,4.04,-1.0,-1
535,The Guns,1964,N/A,85,3.97,-1.0,-1
536,27 Steps of May,2018,N/A,112,3.64,-1.0,-1
537,Personal Problems,1980,N/A,165,4.0,-1.0,-1
538,Wild Tales,2014,R,122,4.12,8.1,77
539,Whisper of the Heart,1995,N/A,111,4.14,-1.0,-1
540,Iruvar,1997,N/A,140,3.95,-1.0,-1
541,Logan,2017,N/A,137,4.1,-1.0,-1
542,The Phantom Carriage,1921,N/A,107,4.06,-1.0,-1
543,Requiem for a Dream,2000,R,102,4.1,8.3,68
544,The Virgin Spring,1960,Not Rated,90,4.12,8.1,0
545,The Cabinet of Dr. Caligari,1920,Not Rated,78,4.07,8.1,0
546,Roman Holiday,1953,N/A,119,4.13,-1.0,-1
547,Cure,1997,N/A,111,4.23,-1.0,-1
548,The Servant,1963,N/A,116,4.08,-1.0,-1
549,Badlands,1973,N/A,94,4.04,-1.0,-1
550,Nausicaä of the Valley of the Wind,1984,PG,117,4.13,8.1,86
551,The Hidden Fortress,1958,Not Rated,139,4.11,8.1,0
552,"His Motorbike, Her Island",1986,N/A,90,4.07,-1.0,-1
553,Tokyo Godfathers,2003,N/A,93,4.19,-1.0,-1
554,Children of Heaven,1997,PG,89,4.08,8.3,77
555,Rope,1948,N/A,81,4.12,-1.0,-1
556,Harry Potter and the Prisoner of Azkaban,2004,N/A,141,4.08,-1.0,-1
557,Tropical Malady,2004,N/A,114,4.09,-1.0,-1
558,Hovering Over the Water,1986,N/A,137,4.05,-1.0,-1
559,Only Angels Have Wings,1939,N/A,121,4.05,-1.0,-1
560,Insiang,1976,N/A,95,3.99,-1.0,-1
561,Safety Last!,1923,N/A,74,4.09,-1.0,-1
562,Onibaba,1964,N/A,105,4.07,-1.0,-1
563,Angel's Egg,1985,N/A,71,4.14,-1.0,-1
564,The Royal Tenenbaums,2001,N/A,110,4.1,-1.0,-1
565,"Night Is Short, Walk on Girl",2017,N/A,93,4.15,-1.0,-1
566,Céline,1992,N/A,88,4.07,-1.0,-1
567,Harold and Maude,1971,N/A,91,4.09,-1.0,-1
568,An Inn at Osaka,1954,N/A,122,3.83,-1.0,-1
569,Hunt for the Wilderpeople,2016,N/A,101,4.06,-1.0,-1
570,Hot Fuzz,2007,N/A,121,4.08,-1.0,-1
571,Beauty and the Beast,1946,N/A,96,4.05,-1.0,-1
572,"Sem Essa, Aranha",1970,N/A,92,3.9,-1.0,-1
573,The Piano Teacher,2001,N/A,131,4.1,-1.0,-1
574,"Khrustalyov, My Car!",1998,N/A,147,3.98,-1.0,-1
575,Innocence,1997,N/A,110,3.94,-1.0,-1
576,Notorious,1946,N/A,103,4.08,-1.0,-1
577,Marriage Story,2019,R,137,4.0,8.0,94
578,Pride & Prejudice,2005,N/A,127,4.09,-1.0,-1
579,And Then We Danced,2019,N/A,113,4.08,-1.0,-1
580,Buccaneer Soul,1993,N/A,112,3.96,-1.0,-1
581,Seconds,1966,N/A,107,4.11,-1.0,-1
582,The Sword of Doom,1966,N/A,122,4.09,-1.0,-1
583,Hard Boiled,1992,N/A,126,4.13,-1.0,-1
584,Room,2015,N/A,118,3.98,-1.0,-1
585,American History X,1998,R,119,4.12,8.5,62
586,Threads,1984,N/A,117,4.1,-1.0,-1
587,Nine Queens,2000,N/A,114,4.01,-1.0,-1
588,The Hero,1966,N/A,118,4.07,-1.0,-1
589,The Valley of the Bees,1968,N/A,97,4.05,-1.0,-1
590,My Friends,1975,N/A,140,3.95,-1.0,-1
591,Black Swan,2010,R,108,4.14,8.0,79
592,The Great Silence,1968,N/A,106,4.1,-1.0,-1
593,Sanjuro,1962,Not Rated,96,4.1,8.1,0
594,Knives Out,2019,N/A,131,4.01,-1.0,-1
595,Au Hasard Balthazar,1966,N/A,96,4.06,-1.0,-1
596,Black Narcissus,1947,N/A,100,4.01,-1.0,-1
597,Brokeback Mountain,2005,N/A,134,4.09,-1.0,-1
598,L'Avventura,1960,N/A,144,4.07,-1.0,-1
599,Moving,1993,N/A,124,4.1,-1.0,-1
600,The Great Escape,1963,Approved,173,4.12,8.2,86
601,Black Friday,2004,N/A,162,3.85,-1.0,-1
602,Indiana Jones and the Last Crusade,1989,PG-13,127,4.09,8.2,65
603,Mysteries of Lisbon,2010,N/A,267,4.07,-1.0,-1
604,The Exorcist,1973,N/A,122,4.0,-1.0,-1
605,Vagabond,1985,N/A,105,4.08,-1.0,-1
606,Jojo Rabbit,2019,N/A,108,4.04,-1.0,-1
607,Adaptation.,2002,N/A,115,4.11,-1.0,-1
608,Nightcrawler,2014,N/A,118,4.05,-1.0,-1
609,Equinox Flower,1958,N/A,118,4.03,-1.0,-1
610,Vivre Sa Vie,1962,N/A,84,4.03,-1.0,-1
611,To the Left of the Father,2001,N/A,163,3.94,-1.0,-1
612,From What Is Before,2014,N/A,345,4.13,-1.0,-1
613,Dreams,1990,N/A,119,4.14,-1.0,-1
614,Estômago: A Gastronomic Story,2007,N/A,113,3.92,-1.0,-1
615,Certified Copy,2010,N/A,106,4.08,-1.0,-1
616,The Return,2003,Not Rated,111,4.11,8.0,82
617,Butch Cassidy and the Sundance Kid,1969,N/A,111,4.12,-1.0,-1
618,Mildred Pierce,1945,N/A,111,4.03,-1.0,-1
619,Wolf Children,2012,PG,117,4.09,8.1,71
620,Matewan,1987,N/A,132,4.07,-1.0,-1
621,A Short Film About Killing,1988,N/A,85,4.1,-1.0,-1
622,Letter from an Unknown Woman,1948,N/A,87,4.06,-1.0,-1
623,To Kill a Mockingbird,1962,Approved,129,4.08,8.2,88
624,Fireworks,1997,N/A,103,4.15,-1.0,-1
625,The Cameraman,1928,N/A,74,4.06,-1.0,-1
626,Evil Dead II,1987,N/A,84,4.02,-1.0,-1
627,Oasis,2002,N/A,132,4.05,-1.0,-1
628,Pride,2014,N/A,122,4.09,-1.0,-1
629,White Heat,1949,Not Rated,114,4.07,8.1,0
630,Let the Right One In,2008,N/A,114,4.05,-1.0,-1
631,"The Cook, the Thief, His Wife & Her Lover",1989,N/A,124,4.13,-1.0,-1
632,Klaus,2019,PG,96,4.1,8.2,65
633,Gone Girl,2014,R,149,4.06,8.1,79
634,"It's Not Me, I Swear!",2008,N/A,110,3.98,-1.0,-1
635,Blue,1993,N/A,79,4.09,-1.0,-1
636,The Grapes of Wrath,1940,N/A,129,4.12,-1.0,-1
637,Manichitrathazhu,1993,N/A,169,3.86,-1.0,-1
638,Dead Man's Letters,1986,N/A,83,4.08,-1.0,-1
639,Toy Story 3,2010,G,103,3.99,8.3,92
640,Mind Game,2004,N/A,103,4.14,-1.0,-1
641,An Average Little Man,1977,N/A,122,3.9,-1.0,-1
642,The Bad Sleep Well,1960,N/A,150,4.05,-1.0,-1
643,Ed Wood,1994,N/A,127,4.06,-1.0,-1
644,The Ox-Bow Incident,1943,N/A,76,4.09,-1.0,-1
645,The Fabulous Baron Munchausen,1962,N/A,83,3.99,-1.0,-1
646,City of Pirates,1983,N/A,108,4.03,-1.0,-1
647,Mr. Smith Goes to Washington,1939,N/A,129,4.08,-1.0,-1
648,In a Year with 13 Moons,1978,N/A,124,3.99,-1.0,-1
649,I Am a Fugitive from a Chain Gang,1932,N/A,92,4.05,-1.0,-1
650,Amores Perros,2000,R,154,4.14,8.1,83
651,Young Frankenstein,1974,N/A,106,4.0,-1.0,-1
652,True Stories,1986,N/A,89,4.02,-1.0,-1
653,The Wild Bunch,1969,N/A,145,4.07,-1.0,-1
654,Antonio das Mortes,1969,N/A,100,3.81,-1.0,-1
655,Ballad of a Soldier,1959,N/A,89,4.06,-1.0,-1
656,The Intouchables,2011,R,113,4.11,8.5,0
657,Sound of the Mountain,1954,N/A,96,4.02,-1.0,-1
658,Mustang,2015,N/A,97,4.14,-1.0,-1
659,Being John Malkovich,1999,N/A,113,4.07,-1.0,-1
660,Pudhupettai,2006,N/A,179,3.9,-1.0,-1
661,Death by Hanging,1968,N/A,118,4.07,-1.0,-1
662,Rocky,1976,PG,119,4.07,8.1,70
663,Scarface,1983,R,170,4.1,8.3,65
664,God's Comedy,1995,N/A,162,3.91,-1.0,-1
665,Annie Hall,1977,N/A,93,4.04,-1.0,-1
666,All That Heaven Allows,1955,N/A,89,4.04,-1.0,-1
667,Landscape Suicide,1986,N/A,95,3.93,-1.0,-1
668,Kizumonogatari Part 3: Reiketsu,2017,N/A,83,4.2,-1.0,-1
669,The Adversary,1970,N/A,110,3.92,-1.0,-1
670,Le Bonheur,1965,N/A,79,4.09,-1.0,-1
671,Maborosi,1995,N/A,110,4.08,-1.0,-1
672,Limelight,1952,N/A,137,4.06,-1.0,-1
673,The Wind,1928,N/A,76,4.04,-1.0,-1
674,Dial M for Murder,1954,PG,105,4.11,8.2,75
675,The Tree of Wooden Clogs,1978,N/A,187,4.05,-1.0,-1
676,The Saragossa Manuscript,1965,N/A,183,4.03,-1.0,-1
677,Balangiga: Howling Wilderness,2017,N/A,120,3.66,-1.0,-1
678,His Girl Friday,1940,N/A,92,4.04,-1.0,-1
679,Güeros,2014,N/A,111,4.11,-1.0,-1
680,Lone Wolf and Cub: Baby Cart at the River Styx,1972,N/A,81,3.98,-1.0,-1
681,Breaking the Waves,1996,N/A,159,4.1,-1.0,-1
682,The Wizard of Oz,1939,N/A,102,3.97,-1.0,-1
683,Early Spring,1956,N/A,144,4.0,-1.0,-1
684,The Hustler,1961,N/A,134,4.08,-1.0,-1
685,August in the Water,1995,N/A,117,4.06,-1.0,-1
686,The Wolf of Wall Street,2013,R,180,4.0,8.2,75
687,American Beauty,1999,R,122,3.97,8.3,84
688,Blue Collar,1978,N/A,114,4.06,-1.0,-1
689,Diary of a Country Priest,1951,N/A,115,4.06,-1.0,-1
690,After Life,1998,N/A,118,4.11,-1.0,-1
691,Damnation,1988,N/A,116,4.06,-1.0,-1
692,Come and Go,2003,N/A,175,3.85,-1.0,-1
693,Pain and Glory,2019,N/A,114,4.05,-1.0,-1
694,Pierrot le Fou,1965,N/A,110,4.03,-1.0,-1
695,In Bruges,2008,N/A,108,4.1,-1.0,-1
696,Blow Out,1981,N/A,108,4.1,-1.0,-1
697,The Diving Bell and the Butterfly,2007,PG-13,112,4.09,8.0,92
698,The Big Heat,1953,N/A,89,4.05,-1.0,-1
699,Little Miss Sunshine,2006,N/A,102,4.16,-1.0,-1
700,Shoeshine,1946,N/A,87,4.04,-1.0,-1
701,The Marriage of Maria Braun,1979,N/A,120,4.02,-1.0,-1
702,Fox and His Friends,1975,N/A,125,4.0,-1.0,-1
703,All Quiet on the Western Front,1930,N/A,134,4.12,-1.0,-1
704,Big Deal on Madonna Street,1958,N/A,106,3.96,-1.0,-1
705,Willow and Wind,1999,N/A,81,3.82,-1.0,-1
706,West Side Avenue,2001,N/A,301,3.87,-1.0,-1
707,Elevator to the Gallows,1958,N/A,91,4.07,-1.0,-1
708,Burning,2018,N/A,148,4.07,-1.0,-1
709,The Cloud-Capped Star,1960,N/A,127,4.01,-1.0,-1
710,"That Day, on the Beach",1983,N/A,166,4.03,-1.0,-1
711,The Bride of Frankenstein,1935,N/A,75,3.97,-1.0,-1
712,L.A. Confidential,1997,N/A,138,4.07,-1.0,-1
713,A Prophet,2009,N/A,155,4.13,-1.0,-1
714,Ex Machina,2015,N/A,108,3.99,-1.0,-1
715,Kind Hearts and Coronets,1949,N/A,104,4.03,-1.0,-1
716,Mulan,1998,N/A,88,4.07,-1.0,-1
717,Goopy Gyne Bagha Byne,1969,N/A,132,3.86,-1.0,-1
718,The Testament of Dr. Mabuse,1933,N/A,122,4.0,-1.0,-1
719,Secret Sunshine,2007,N/A,143,4.05,-1.0,-1
720,Ashes and Diamonds,1958,N/A,103,4.02,-1.0,-1
721,My Darling Clementine,1946,N/A,97,4.05,-1.0,-1
722,Zodiac,2007,N/A,163,4.01,-1.0,-1
723,The Long Day Closes,1992,N/A,85,4.01,-1.0,-1
724,The Browning Version,1951,N/A,90,4.01,-1.0,-1
725,Turtles Can Fly,2004,N/A,98,4.07,-1.0,-1
